clean_content,sentimen
aplikasi bantu order gojek berangkat pulang kerja,positif
drivernya ambil pas hujan ga kaya grab yg mahal drivernya dikit,positif
wow uda tahin aja,positif
good,positif
kecewa bgt ga segercep grab pake gojek kapok bgt duit ku k ilang aplikasi yg pake mending pindah apk belah,negatif
bagus,positif
kecewa gojekdalam fitur gopay pinjamsetelah bayar lunas jt aju kembalikok tolak terang desember aju kembaliinipun blm cairsangat masuk akalsya taat bayar hutang silk ojk bersih,negatif
gojek mantap,positif
sakit hati ya resto ya pm,negatif
gojek ok,positif
good,positif
gojek tolong fiktur traktir driver hapus yg menyalahgunakan penting alas cari harga murah banding harga yg tera driver yg rugi castamer seger tindak hapus aja makasih,negatif
servis cepat ok,positif
tolong kasih diskon yaaaa,positif
tunggu fitur baik,positif
gk ramah wh,netral
manfaat bantu orang mudah lapang kerja,positif
yaaa pakai praktis,positif
gg gemink,positif
sllu oketdk tunggu pes apl gojec cepat respon orderkerja sm yg baiktrima kasih sdh hadir,positif
mantap aplikasi,positif
kecewa driver akupengguna gojek dr punten ahh sakit hati banget hapus aplikasi,netral
pokoke mantullleee,positif
puas senang ok driver respon dgn cepat,positif
oke,positif
boarkan bintang bwrbicara,positif
mantab,positif
susah dpt order kacau yg lewatin order kalah yg jarang lewatin orderangojek top,negatif
best always,positif
good,positif
gopay aplikasi curi uang yg kedok ewalet isi saldo akun ku blokir saldo nnya nyesal pakek gopay,negatif
pesan gofood x ganti driver ga yg bener sampe dibatalin resto,negatif
kali sih,positif
ok,positif
udah pake gojek and fine fine aja aja ngalamin sampe kali ya sen goride comfort dateng motor supra maybe tulis honda vario loh,netral
proses cepat,positif
mitra yg nakaldia yg nabrak yg ganti rugi,negatif
bayar topup dana,netral
gojek cepat maju,positif
bitang ga bantu masalah pin,negatif
good,positif
bagus,positif
manfaat,positif
nyocot notif doang nya jir ngasih voucher diskon bang gojek,negatif
driver jemput konfirmasi putar putar lapor gojek mohon bantu rugi konsumen,negatif
tahan layan,positif
bantu,positif
ngirim gosend pake instan susah driver aekali dapet akibat slot pindah apliaksi simplemana ga chat via apliaksi,negatif
bantu,positif
coustemer raja ratu driver cuman cari nafkah anak istri akibat lapor coustemer mati rezeki driver lapor gak sesuai fakta delik adu hukum pasal kuhp fitnah,negatif
pagi rumah sakitbanyak driver yg ambil eeeh cancel driver nya telat rumah sakit nya,positif
pakai jasa gojek layan penuh,negatif
aplikasi sampah tinggal dijakarta ya kali maslaah jaring chat centang g masuj biaya kesini biaya layan gojek wajar usaha beban konsumen,negatif
drivernya ramah ikut rute sesuai arah,positif
tingkat pelayanannyasejauh lancar,positif
bantu,positif
mantap,positif
gojek gofood the best pt karya anak bangsa,positif
hape udah spek gps driver ma costumer gak singkron gak bagus,negatif
ok,positif
booking murah yg mahal respon nya,negatif
bagus,positif
mantap,positif
llama cari draiver udh buru,negatif
pilih rute arah putar putar harga mahal nya aplikasi tunjuk rute singkat malau putar putar harga argo mahal,negatif
maxim andal go ride zonnkkkk,negatif
mantap,positif
keep going,positif
abang gojek ngatain fisik bilang tolol mulu kasih rating abang gojek kasih rating gojek nya maksa tip anak sekolah udah hapus aja aplikasi gojek ga sopan gojek julid cabul ga mikirin aman tumpang ga bener emng,negatif
bagus,positif
bagus,positif
ok,positif
udah ga kayak fiturnya mataduitan,negatif
mantap bantu aplikasi mudah,positif
bagus,positif
good job,positif
gak recomend pokok udah gak sangking,negatif
selamat pagi sayang ikut kontes yg bikin hati indonesia gak hati hati indonesia,negatif
mahal bos harga makan resto naik banget,negatif
komunikasi gojekers konsumen terkadang jalan mulus driver gojek penting jalan trus klo order konsumen ngga jelas gimana gojekersnya konsumen bingung hadehhh,netral
dr td pagi buta sy blm dpt panglaris,positif
aplikasi bantu moga amal jariyah yg aplikasi,positif
errorr ga buka payah nih adminya,negatif
titik jemput akurat driver arah aplikasi titik jemput salah sesuai map instal ulang aplikasi pin titik jemput sesuai map perubahanperbaikan,netral
